cellular root,domain,clade,kingdom,subkingdom,phylum,subphylum,class,no rank,order,family,genus,species,input_species,names_match,subclass,suborder,subfamily,species group,tribe,infraclass,cohort,infraorder,superfamily
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,Abortiporus biennis CCBS 521 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,Abortiporus biennis ​CIRM-BRFM 1778 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,Acaromyces ingoldii MCA 4198 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,,Agaricostilbales,Agaricostilbaceae,Sterigmatomyces,Sterigmatomyces hyphaenes,Agaricostilbum hyphaenes ATCC MYA-4628 v1.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,Agaricus bisporus var bisporus (H97) v2.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,Agaricus bisporus var. burnettii JB137-S8,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,Agrocybe pediades AH 40210 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox,Agrocybe praecox OKM6292 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Amanitaceae,,Amanita,Amanita aff. conicoverrucosa KIS12 v1.0,Genus_Search,Agaricomycetidae,Pluteineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita muscaria,Amanita muscaria Koide v1.0,Yes,Agaricomycetidae,Pluteineae,,,,,,,
