file                                                         	 format	 type   	 num_seqs	 sum_len	 min_len	 avg_len	 max_len	 Q1 	 Q2 	 Q3 	 sum_gap	 N50	 N50_num	 Q20(%)	 Q30(%)	 AvgQual	 GC(%)	 sum_n
macpf/1_combined/1.3_protein_combined.fasta                  	 FASTA 	 Protein	     4832	 2088473	      34	   432.2	    1463	 208	 453	 537	       0	 516	     191	      0	      0	    0.00	  0.00	    32
macpf/1_combined/1.4_protein_ids_combined.fasta              	 FASTA 	 Protein	     4832	 2088473	      34	   432.2	    1463	 208	 453	 537	       0	 516	     191	      0	      0	    0.00	  0.00	    32
macpf/2_name_copies/2.1_3_macpf_protein_nonamedupes.fasta    	 FASTA 	 Protein	     1148	  448857	      34	   391.0	    1463	 170	 350	 520	       0	 509	     198	      0	      0	    0.00	  0.00	     8
macpf/2_name_copies/2.1_2_macpf_protein_namedupes.fasta      	 FASTA 	 Protein	     3684	 1639616	      34	   445.1	    1463	 225	 468	 541	       0	 518	     178	      0	      0	    0.00	  0.00	    24
macpf/3_hmmer/3_4_after_hmmer/3.4.1_macpf_after_hmmer.fasta  	 FASTA 	 Protein	      536	  307534	     124	   573.8	    1316	 462	 518	 741	       0	 566	     143	      0	      0	    0.00	  0.00	     0
macpf/3_hmmer/3_4_after_hmmer/3.4.3_macpf_non_containig.fasta	 FASTA 	 Protein	      612	  141323	      34	   230.9	    1463	 139	 188	 248	       0	 238	     115	      0	      0	    0.00	  0.00	     8
macpf/4_permitted/4.2_macpf_permitted.fasta                  	 FASTA 	 Protein	      516	  297551	     124	   576.6	    1316	 462	 518	 752	       0	 568	     139	      0	      0	    0.00	  0.00	     0
macpf/4_permitted/4.3.2_macpf_non_permitted.fasta            	 FASTA 	 Protein	       20	    9983	     262	   499.2	     602	 470	 492	 570	       0	 494	       8	      0	      0	    0.00	  0.00	     0
macpf/5_final/5.1_duplicate_sequences_seq.fasta              	 FASTA 	 Protein	       12	    5904	     435	   492.0	     524	 480	 494	 511	       0	 495	       5	      0	      0	    0.00	  0.00	     0
macpf/5_final/5.1_macpf_final.fasta                          	 FASTA 	 Protein	      504	  291647	     124	   578.7	    1316	 462	 520	 755	       0	 586	     134	      0	      0	    0.00	  0.00	     0
