Score,fasta_header,Organism Id,Organism Name,Genus species,Name,Track,Protein Id,Transcript Id,Location,Scaffold,Start,End,Strand,Annotations,User Annotations
0.076912,jgi|Grifr1|12740|transcript:OBZ74161,Grifr1,Grifola frondosa 9006-11,Grifola frondosa,transcript:OBZ74161,ExternalModels,12740,12740,"scaffold_5:923,135-927,675 (-)",scaffold_5,923135,927675,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1322978|fgenesh1_pg.5_#_727,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,fgenesh1_pg.5_#_727,fgenesh1_pg,1322978,1323264,"scaffold_5:2,614,414-2,616,249 (-)",scaffold_5,2614414,2616249,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1323741|fgenesh1_pg.6_#_584,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,fgenesh1_pg.6_#_584,fgenesh1_pg,1323741,1324027,"scaffold_6:2,067,532-2,069,468 (-)",scaffold_6,2067532,2069468,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1409903|gm1.740_g,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,gm1.740_g,Genemark1,1409903,1410189,"scaffold_1:2,445,539-2,447,416 (+)",scaffold_1,2445539,2447416,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1417105|gm1.7942_g,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,gm1.7942_g,Genemark1,1417105,1417391,"scaffold_7:1,724,677-1,726,534 (+)",scaffold_7,1724677,1726534,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1458585|MIX39070_1762_88,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,MIX39070_1762_88,,1458585,1458871,"scaffold_6:1,137,114-1,138,988 (-)",scaffold_6,1137114,1138988,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|836733|CE836732_171,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,CE836732_171,,836733,837019,"scaffold_5:2,541,537-2,543,718 (+)",scaffold_5,2541537,2543718,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|911939|CE911938_2292,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,CE911938_2292,,911939,912225,"scaffold_6:1,101,154-1,103,411 (-)",scaffold_6,1101154,1103411,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|912634|CE912633_997,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,CE912633_997,,912634,912920,"scaffold_6:1,133,875-1,136,263 (-)",scaffold_6,1133875,1136263,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066139,jgi|Flafl1|1038591|CE1038590_19765,Flafl1,Flavodon flavus 38 v1.0,Flavodon flavus,CE1038590_19765,,1038591,1038877,"scaffold_7:1,293,886-1,296,230 (-)",scaffold_7,1293886,1296230,(-),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066133,jgi|Trace1|219508|CE219507_1190,Trace1,Trametopsis cervina CIRM-BRFM 1824 v1.0,Trametopsis cervina,CE219507_1190,,219508,219637,"scaffold_12:161,933-163,823 (-)",scaffold_12,161933,163823,(-),TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823,
0.066133,jgi|Trace1|223056|CE223055_1834,Trace1,Trametopsis cervina CIRM-BRFM 1824 v1.0,Trametopsis cervina,CE223055_1834,,223056,223185,"scaffold_12:272,017-273,816 (+)",scaffold_12,272017,273816,(+),TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823,
0.066133,jgi|Trace1|1345703|fgenesh1_pg.12_#_47,Trace1,Trametopsis cervina CIRM-BRFM 1824 v1.0,Trametopsis cervina,fgenesh1_pg.12_#_47,fgenesh1_pg,1345703,1345832,"scaffold_12:146,133-147,977 (-)",scaffold_12,146133,147977,(-),TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823,
0.066133,jgi|Trace1|1429431|gm1.5562_g,Trace1,Trametopsis cervina CIRM-BRFM 1824 v1.0,Trametopsis cervina,gm1.5562_g,Genemark1,1429431,1429560,"scaffold_12:117,629-119,451 (+)",scaffold_12,117629,119451,(+),TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823,
0.066128,jgi|Hydfim1|686686|CE686685_3433,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,CE686685_3433,,686686,686838,"scaffold_7:758,728-761,022 (+)",scaffold_7,758728,761022,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
0.066128,jgi|Hydfim1|764796|CE764795_616,Hydfim1,Hydnopolyporus fimbriatus CBS384.51 v1.0,Hydnopolyporus fimbriatus,CE764795_616,,764796,764948,"scaffold_9:653,069-654,996 (+)",scaffold_9,653069,654996,(+),TCDB:1.C.39.4.1 IPRF:ipr020864 PFD:pf01823,
