Score,"Organism Id","Organism Name",Name,Track,"Protein Id","Transcript Id",Location,Scaffold,Start,End,Strand,Annotations,"User Annotations"
0.095226,Volvo1,"Volvariella volvacea V23","conserved hypothetical protein","ExternalModels",119888,120060,"VVO_00024:252,728-255,583 (-)","VVO_00024",252728,255583,"(-)","TCDB:1.C.97.2.1",""
0.095191,Rhiso1,"Rhizoctonia solani AG-1 IB","g11266.t1","ExternalModels",11266,11430,"scaffold_00339:12,507-16,544 (-)","scaffold_00339",12507,16544,"(-)","TCDB:1.C.97.2.1",""
0.095191,Rhiso1,"Rhizoctonia solani AG-1 IB","g15143.t1","ExternalModels",15143,15307,"scaffold_01577:33-1,632 (-)","scaffold_01577",33,1632,"(-)","TCDB:1.C.97.2.1",""
0.083517,Flafl1,"Flavodon flavus 38 v1.0","CE822842_1440","null",822843,823129,"scaffold_5:2,196,399-2,198,711 (+)","scaffold_5",2196399,2198711,"(+)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.083483,Irplac1,"Irpex lacteus CCBAS Fr. 238 617/93 v1.0","CE636526_553","null",636527,636717,"scaffold_28:423,861-425,584 (-)","scaffold_28",423861,425584,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.083483,Cont1119283,"Clitocybe sp. JGI1119283 v1.0","e_gw1.79.15.1","Genewise1Plus",63447,64297,"scaffold_79:166,390-169,555 (-)","scaffold_79",166390,169555,"(-)","TCDB:1.C.97.2.1",""
0.083381,Mycmet1,"Mycena metata CBHHK182m v1.0","MIX10730_2_15","null",1764089,1767805,"scaffold_121:248,294-250,132 (+)","scaffold_121",248294,250132,"(+)","TCDB:1.C.97.2.1",""
0.083317,Galma1,"Galerina marginata v1.0","CE780722_38225","null",1064925,1065074,"scaffold_46:250,483-252,961 (-)","scaffold_46",250483,252961,"(-)","TCDB:1.C.97.2.1 KOG:KOG2992",""
0.083317,Galma1,"Galerina marginata v1.0","fgenesh1_pm.17_#_53","fgenesh1_pm",227357,227506,"scaffold_17:216,169-218,696 (+)","scaffold_17",216169,218696,"(+)","TCDB:1.C.97.2.1 IPRF:ipr008997",""
0.083303,Mycoli1,"Mycena olivaceomarginata CBHHK47/15 v1.0","MIX163615_2_17","null",3704566,3706750,"scaffold_382:87,797-90,618 (+)","scaffold_382",87797,90618,"(+)","TCDB:1.C.97.2.1",""
0.071710,Cersp395_1,"Ceratobasidium sp. 395 v1.0","CE266973_2229","null",266974,267412,"scaffold_15:360,346-364,316 (-)","scaffold_15",360346,364316,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071655,Sisser1,"Sistotrema sernanderi OMC 1753 v1.0","CE154334_5056","null",154335,154813,"scaffold_11:1,533,870-1,537,797 (-)","scaffold_11",1533870,1537797,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071575,Cersp5352_1,"Ceratobasidium sp 535-2 v1.0","MIX64581_5_12","null",2256743,2257331,"scaffold_395:69,405-73,955 (+)","scaffold_395",69405,73955,"(+)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071574,Cersp423_1,"Ceratobasidium sp. 423 v1.0","estExt_Genemark1.C_2700004","estExt_Genemark1",1984371,1984863,"scaffold_270:11,085-15,762 (-)","scaffold_270",11085,15762,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071571,Rorror1,"Roridomyces roridus 9284 v1.0","e_gw1.23.453.1","Genewise1Plus",757556,758512,"scaffold_23:781,097-783,708 (+)","scaffold_23",781097,783708,"(+)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071563,Mycpur1,"Mycena pura 9144 v1.0","fgenesh1_kg.5_#_2239_#_TRINITY_DN12089_c1_g1_i7","fgenesh1_kg",426267,427141,"scaffold_5:1,591,009-1,592,226 (-)","scaffold_5",1591009,1592226,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
0.071536,Myclat1,"Mycena latifolia 10383 v1.0","MIX25141_30_44","null",1450963,1456125,"scaffold_17:970,988-975,218 (-)","scaffold_17",970988,975218,"(-)","TCDB:1.C.97.2.1 IPRF:ipr020864 PFD:pf01823",""
