Score,"Organism Id","Organism Name",Name,Track,"Protein Id","Transcript Id",Location,Scaffold,Start,End,Strand,Annotations,"User Annotations"
0.077462,Grifr1,"Grifola frondosa 9006-11","transcript:OBZ73812","ExternalModels",12734,12734,"scaffold_5:914,517-915,383 (+)","scaffold_5",914517,915383,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.077462,Grifr1,"Grifola frondosa 9006-11","transcript:OBZ73729","ExternalModels",12770,12770,"scaffold_5:1,016,428-1,019,800 (+)","scaffold_5",1016428,1019800,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062106,Serend1,"Serendipita sp. 407 v1.0","gm1.4737_g","Genemark1",1382063,1382229,"scaffold_5:673,522-676,432 (-)","scaffold_5",673522,676432,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062106,Ser411_1,"Serendipita sp. 411 v1.0","gm1.6971_g","Genemark1",1396800,1396938,"scaffold_8:1,318,603-1,321,513 (+)","scaffold_8",1318603,1321513,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062101,Flafl1,"Flavodon flavus 38 v1.0","gm1.6055_g","Genemark1",1415218,1415504,"scaffold_5:2,186,045-2,189,642 (+)","scaffold_5",2186045,2189642,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062091,PleosPC15_2,"Pleurotus ostreatus PC15 v2.0","fgenesh1_pg.11_#_118","fgenesh1_pg",1086943,1086943,"scaffold_11:570,479-574,608 (+)","scaffold_11",570479,574608,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.062090,Hydfim1,"Hydnopolyporus fimbriatus CBS384.51 v1.0","fgenesh1_kg.22_#_138_#_TRINITY_DN3660_c3_g9_i1","fgenesh1_kg",958469,958621,"scaffold_22:82,847-85,440 (+)","scaffold_22",82847,85440,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062090,Tylas1,"Cantharellales sp. MUCL 035158 v1.0","CE293612_2078","null",293613,293613,"scaffold_9:74,237-77,561 (+)","scaffold_9",74237,77561,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062090,Tramax1,"Trametes maxima CIRM-BRFM 1813 v1.0","gm1.4067_g","Genemark1",1077094,1077390,"scaffold_6:372,063-373,830 (-)","scaffold_6",372063,373830,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062086,PleosDSM11191_1,"Pleurotus ostreatus DSM 11191 v1.0","e_gw1.23.214.1","Genewise1Plus",1182591,1183213,"scaffold_23:521,263-525,394 (+)","scaffold_23",521263,525394,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062086,Serbor1,"Serpulomyces borealis OMC1750 v1.0","gm1.7626_g","Genemark1",1864352,1864606,"scaffold_27:147,456-150,006 (+)","scaffold_27",147456,150006,"(+)","IPRF:ipr013320 IPRF:ipr020864 PFD:pf01823 PFD:pf13385",""
0.062085,Cerun2,"Cerrena unicolor v1.1","MIX12075_2_11","null",428529,428744,"scaffold_33:86,134-88,080 (+)","scaffold_33",86134,88080,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.062085,Cytmel1,"Cytidiella melzeri FP 102339 v1.0","fgenesh1_pg.57_#_4","fgenesh1_pg",1305682,1305790,"scaffold_57:11,217-13,871 (+)","scaffold_57",11217,13871,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062085,Cytmel1,"Cytidiella melzeri FP 102339 v1.0","fgenesh1_kg.6_#_586_#_TRINITY_DN3690_c0_g1_i4","fgenesh1_kg",1317756,1317864,"scaffold_6:291,563-292,709 (-)","scaffold_6",291563,292709,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062085,Cytmel1,"Cytidiella melzeri FP 102339 v1.0","CE320259_9452","null",320260,320368,"scaffold_19:137,392-139,745 (+)","scaffold_19",137392,139745,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062085,Cytmel1,"Cytidiella melzeri FP 102339 v1.0","gm1.11478_g","Genemark1",1421152,1421260,"scaffold_273:8,051-9,862 (+)","scaffold_273",8051,9862,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062085,Cytmel1,"Cytidiella melzeri FP 102339 v1.0","gm1.11476_g","Genemark1",1421150,1421258,"scaffold_273:3,160-5,150 (+)","scaffold_273",3160,5150,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062083,Sisbri1,"Sistotrema brinkmannii OMC1754 v1.0","fgenesh1_kg.3_#_3014_#_TRINITY_DN7407_c0_g1_i1","fgenesh1_kg",614965,615201,"scaffold_3:2,194,223-2,197,179 (-)","scaffold_3",2194223,2197179,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062075,Rhives1,"Rhizopogon vesiculosus Smith","augustus_masked-NODE_47581_length_37635_cov_48%252E836590-abinit-gene-0.2-mRNA-1","ExternalModels",8229,8229,"scaffold_4815:6,479-10,640 (-)","scaffold_4815",6479,10640,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062075,Irplac1183_1,"Irpex lacteus DSM 1183 v1.0","fgenesh1_kg.19_#_118_#_TRINITY_DN7109_c0_g1_i20","fgenesh1_kg",1690079,1690629,"scaffold_19:70,564-74,737 (+)","scaffold_19",70564,74737,"(+)","IPRF:ipr020864 PFD:pf01823",""
0.062075,Irplac1183_1,"Irpex lacteus DSM 1183 v1.0","MIX42805_382_51","null",1842901,1843451,"scaffold_30:539,358-541,583 (-)","scaffold_30",539358,541583,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062073,Cervir1,"Ceriporia viridans OMC1683 v1.0","MIX75728_2058_80","null",2115152,2115636,"scaffold_8:326,796-329,013 (-)","scaffold_8",326796,329013,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062073,Cervir1,"Ceriporia viridans OMC1683 v1.0","CE1539554_1103","null",1539555,1540039,"scaffold_8:332,194-333,812 (-)","scaffold_8",332194,333812,"(-)","IPRF:ipr020864 PFD:pf01823",""
0.062063,Panst_KUC8834_1_1,"Panellus stipticus KUC8834 v1.1","estExt_Genemark1.C_1430007","estExt_Genemark1",833862,834015,"scaffold_143:54,270-57,093 (+)","scaffold_143",54270,57093,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.062063,Panst_KUC8834_1_1,"Panellus stipticus KUC8834 v1.1","estExt_fgenesh1_pg.C_1430008","estExt_fgenesh1_pg",897855,898008,"scaffold_143:89,908-93,089 (-)","scaffold_143",89908,93089,"(-)","IPRF:ipr001862 PFD:pf01823",""
0.062057,Panst_LUM_1_1,"Panellus stipticus LUM v1.0","gm1.12388_g","Genemark1",3009926,3010164,"scaffold_60:143,807-146,636 (-)","scaffold_60",143807,146636,"(-)","IPRF:ipr020864 PFD:pf01823",""
