Score,"Organism Id","Organism Name",Name,Track,"Protein Id","Transcript Id",Location,Scaffold,Start,End,Strand,Annotations,"User Annotations"
0.109370,Plicr1,"Plicaturopsis crispa v1.0","gw1.22.89.1","Genewise1",67390,67511,"scaffold_22:99,700-101,449 (-)","scaffold_22",99700,101449,"(-)","IPRF:ipr001862",""
0.087609,PleosPC15_2,"Pleurotus ostreatus PC15 v2.0","fgenesh1_pg.11_#_118","fgenesh1_pg",1086943,1086943,"scaffold_11:570,479-574,608 (+)","scaffold_11",570479,574608,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.087603,Cerun2,"Cerrena unicolor v1.1","MIX12075_2_11","null",428529,428744,"scaffold_33:86,134-88,080 (+)","scaffold_33",86134,88080,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.087593,Sebvebe1,"Serendipita vermifera ssp. bescii NFPB0129 v1.0","fgenesh1_kg.26_#_63_#_Locus27169v1rpkm0.70","fgenesh1_kg",783528,783597,"scaffold_26:191,647-193,240 (+)","scaffold_26",191647,193240,"(+)","IPRF:ipr001862",""
0.087581,Panst_KUC8834_1_1,"Panellus stipticus KUC8834 v1.1","estExt_Genemark1.C_1430007","estExt_Genemark1",833862,834015,"scaffold_143:54,270-57,093 (+)","scaffold_143",54270,57093,"(+)","IPRF:ipr001862 PFD:pf01823",""
0.087581,Panst_KUC8834_1_1,"Panellus stipticus KUC8834 v1.1","estExt_fgenesh1_pg.C_1430008","estExt_fgenesh1_pg",897855,898008,"scaffold_143:89,908-93,089 (-)","scaffold_143",89908,93089,"(-)","IPRF:ipr001862 PFD:pf01823",""
0.087573,Schpa1,"Schizopora paradoxa KUC8140 v1.0","fgenesh1_kg.00056_#_9_#_Locus6146v1rpkm19.98","fgenesh1_kg",902865,902949,"scaffold_00056:32,334-35,131 (-)","scaffold_00056",32334,35131,"(-)","IPRF:ipr001862",""
0.087555,Corgl3,"Phlegmacium glaucopus AT 2004 276 v2.0","estExt_fgenesh1_pg.C_360023","estExt_fgenesh1_pg",7238143,7238257,"scaffold_36:122,797-125,992 (-)","scaffold_36",122797,125992,"(-)","IPRF:ipr001862 PFD:pf01823",""
0.076724,PleosPC9_1,"Pleurotus ostreatus PC9 v1.0","fgenesh1_pm.11_#_136","fgenesh1_pm",99623,99623,"scaffold_11:493,277-495,069 (+)","scaffold_11",493277,495069,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076724,PleosPC9_1,"Pleurotus ostreatus PC9 v1.0","fgenesh1_pm.11_#_135","fgenesh1_pm",99622,99622,"scaffold_11:490,939-492,548 (+)","scaffold_11",490939,492548,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076721,PosplRSB12_1,"Postia placenta MAD-698-R-SB12 v1.0","estExt_Genemark1.C_3_t10065","estExt_Genemark1",1073143,1073143,"scaffold_3:231,045-232,833 (-)","scaffold_3",231045,232833,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076721,PosplRSB12_1,"Postia placenta MAD-698-R-SB12 v1.0","fgenesh1_pm.3_#_39","fgenesh1_pm",1044142,1044142,"scaffold_3:234,282-235,975 (+)","scaffold_3",234282,235975,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076700,Clapy1,"Artomyces pyxidatus HHB10654 v1.0","CE1723620_892","null",1723621,1723727,"scaffold_93:13,533-15,579 (-)","scaffold_93",13533,15579,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076700,Clapy1,"Artomyces pyxidatus HHB10654 v1.0","gm1.11259_g","Genemark1",1921516,1921622,"scaffold_93:7,144-8,940 (-)","scaffold_93",7144,8940,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076700,Clapy1,"Artomyces pyxidatus HHB10654 v1.0","CE915610_1928","null",915611,915717,"scaffold_308:1-2,241 (-)","scaffold_308",1,2241,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076698,ClaPMI390,"Sistotrema sp. PMI_390 v1.0","gm1.2736_g","Genemark1",2164549,2164636,"scaffold_11:217,221-219,360 (-)","scaffold_11",217221,219360,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076698,ClaPMI390,"Sistotrema sp. PMI_390 v1.0","gm1.3972_g","Genemark1",2165785,2165872,"scaffold_19:180,952-182,976 (+)","scaffold_19",180952,182976,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076698,ClaPMI390,"Sistotrema sp. PMI_390 v1.0","gw1.86.2.1","Genewise1",2030121,2030208,"scaffold_86:32,663-34,315 (-)","scaffold_86",32663,34315,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076695,Pleery1,"Pleurotus eryngii ATCC 90797 v1.0","gw1.223.27.1","Genewise1",1348694,1348876,"scaffold_223:11,214-12,511 (+)","scaffold_223",11214,12511,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076695,Pleery1,"Pleurotus eryngii ATCC 90797 v1.0","gm1.13338_g","Genemark1",1513536,1513718,"scaffold_223:8,786-10,395 (-)","scaffold_223",8786,10395,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.076672,Tulca1,"Tulasnella calospora AL13/4D v1.0","MIX21569_78_64","null",231163,231254,"scaffold_57:192,831-194,471 (+)","scaffold_57",192831,194471,"(+)","TCDB:1.C.97.5.1 IPRF:ipr001862 PFD:pf01823",""
0.076618,Denbi1,"Dendrothele bispora CBS 962.96 v1.0","gm1.27504_g","Genemark1",874504,875057,"scaffold_882:32,324-33,822 (-)","scaffold_882",32324,33822,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065846,Antsi1,"Antrodia sinuosa LB1 v1.0","fgenesh1_pg.72_#_24","fgenesh1_pg",698721,698881,"scaffold_72:74,665-76,286 (+)","scaffold_72",74665,76286,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065841,Trace1,"Trametopsis cervina CIRM-BRFM 1824 v1.0","CE219507_1190","null",219508,219637,"scaffold_12:161,933-163,823 (-)","scaffold_12",161933,163823,"(-)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
0.065841,Trace1,"Trametopsis cervina CIRM-BRFM 1824 v1.0","CE223055_1834","null",223056,223185,"scaffold_12:272,017-273,816 (+)","scaffold_12",272017,273816,"(+)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
0.065841,Trace1,"Trametopsis cervina CIRM-BRFM 1824 v1.0","fgenesh1_pg.12_#_47","fgenesh1_pg",1345703,1345832,"scaffold_12:146,133-147,977 (-)","scaffold_12",146133,147977,"(-)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
0.065841,Trace1,"Trametopsis cervina CIRM-BRFM 1824 v1.0","gm1.5562_g","Genemark1",1429431,1429560,"scaffold_12:117,629-119,451 (+)","scaffold_12",117629,119451,"(+)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
0.065839,Cersu1,"Ceriporiopsis (Gelatoporia) subvermispora B","Genemark.308_g","Genemark",90083,102065,"scaffold_1:1,142,736-1,144,223 (+)","scaffold_1",1142736,1144223,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823","Defline:hypothetical protein:Robert Riley:2012-04-18"
0.065838,PleosPC9_1,"Pleurotus ostreatus PC9 v1.0","fgenesh1_kg.11_#_117_#_jgi|PleosPC15_1|163136|genemark.11001_g","fgenesh1_kg",89221,89221,"scaffold_11:488,639-490,450 (-)","scaffold_11",488639,490450,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065837,PleosPC15_2,"Pleurotus ostreatus PC15 v2.0","genemark.11001_g","PleosPC15_1_FrozenGeneCatalog20100405",163136,163136,"scaffold_11:568,183-569,992 (-)","scaffold_11",568183,569992,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065835,PosplRSB12_1,"Postia placenta MAD-698-R-SB12 v1.0","fgenesh1_kg.3_#_24_#_3672578:2","fgenesh1_kg",1038741,1038741,"scaffold_3:227,868-229,719 (-)","scaffold_3",227868,229719,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065833,Wolco1,"Wolfiporia cocos MD-104 SS10 v1.0","estExt_Genemark1.C_3_t10288","estExt_Genemark1",162003,162148,"scaffold_3:1,325,615-1,327,446 (-)","scaffold_3",1325615,1327446,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823","Defline:hypothetical protein:Robert Riley:2012-05-24"
0.065831,Cerun2,"Cerrena unicolor v1.1","CE199341_484","null",199342,199557,"scaffold_56:188,840-191,110 (-)","scaffold_56",188840,191110,"(-)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
0.065831,Cerun2,"Cerrena unicolor v1.1","estExt_Genemark1.C_390005","estExt_Genemark1",447963,448178,"scaffold_39:10,231-11,878 (+)","scaffold_39",10231,11878,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065831,Cerun2,"Cerrena unicolor v1.1","estExt_Genemark1.C_390013","estExt_Genemark1",447970,448185,"scaffold_39:31,141-33,103 (+)","scaffold_39",31141,33103,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065829,Obbri1,"Obba rivulosa 3A-2 v1.0","fgenesh1_kg.47_#_10_#_Locus4094v1rpkm26.25","fgenesh1_kg",791718,791894,"scaffold_47:27,373-29,391 (-)","scaffold_47",27373,29391,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065829,Obbri1,"Obba rivulosa 3A-2 v1.0","fgenesh1_kg.291_#_8_#_Locus7798v2rpkm2.59","fgenesh1_kg",798651,798827,"scaffold_291:19,406-21,809 (-)","scaffold_291",19406,21809,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065829,Obbri1,"Obba rivulosa 3A-2 v1.0","fgenesh1_pg.383_#_5","fgenesh1_pg",808432,808608,"scaffold_383:13,985-15,659 (+)","scaffold_383",13985,15659,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065821,Sebvebe1,"Serendipita vermifera ssp. bescii NFPB0129 v1.0","gm1.10625_g","Genemark1",820185,820254,"scaffold_250:4,405-7,141 (-)","scaffold_250",4405,7141,"(-)","TCDB:1.C.97.1.2 IPRF:ipr001862 PFD:pf01823",""
0.065819,Rhivi1,"Rhizopogon vinicolor AM-OR11-026 v1.0","fgenesh1_kg.272_#_7_#_Locus7900v2rpkm13.59","fgenesh1_kg",772166,772307,"scaffold_272:11,112-13,500 (+)","scaffold_272",11112,13500,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065819,Rhivi1,"Rhizopogon vinicolor AM-OR11-026 v1.0","fgenesh1_kg.272_#_5_#_Locus9335v1rpkm9.04","fgenesh1_kg",772164,772305,"scaffold_272:6,057-8,245 (-)","scaffold_272",6057,8245,"(-)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065819,Rhivi1,"Rhizopogon vinicolor AM-OR11-026 v1.0","gm1.6734_g","Genemark1",801742,801883,"scaffold_272:9,146-10,831 (+)","scaffold_272",9146,10831,"(+)","GO:0003824 GO:0008152 TCDB:1.C.39.9.1 IPRF:ipr001862 IPRF:ipr009014 PFD:pf01823",""
0.065812,ClaPMI390,"Sistotrema sp. PMI_390 v1.0","fgenesh1_kg.11_#_137_#_Locus31436v1rpkm0.97","fgenesh1_kg",2074954,2075041,"scaffold_11:243,613-245,991 (+)","scaffold_11",243613,245991,"(+)","TCDB:1.C.39.9.1 IPRF:ipr001862 PFD:pf01823",""
0.065780,Armost1,"Armillaria solidipes 28-4 v1.0","gm1.11724_g","Genemark1",1021983,1022306,"scaffold_29:482,587-484,412 (+)","scaffold_29",482587,484412,"(+)","TCDB:1.C.39.4.1 IPRF:ipr001862 PFD:pf01823",""
