Score,"Organism Id","Organism Name",Name,Track,"Protein Id","Transcript Id",Location,Scaffold,Start,End,Strand,Annotations,"User Annotations"
0.117024,Lenti7_1,"Lentinus tigrinus ALCF2SS1-7 v1.0","fgenesh1_kg.15_#_48_#_Locus11782v1rpkm2.00","fgenesh1_kg",535826,536119,"scaffold_15:165,555-167,923 (+)","scaffold_15",165555,167923,"(+)","TCDB:1.C.97.1.1",""
0.117024,Lenti7_1,"Lentinus tigrinus ALCF2SS1-7 v1.0","CE90254_1091","null",90255,90548,"scaffold_15:124,511-126,959 (-)","scaffold_15",124511,126959,"(-)","TCDB:1.C.97.1.1",""
0.117022,Lenti6_1,"Lentinus tigrinus ALCF2SS1-6 v1.0","fgenesh1_pm.54_#_43","fgenesh1_pm",588865,589157,"scaffold_54:170,830-172,868 (+)","scaffold_54",170830,172868,"(+)","TCDB:1.C.97.1.1",""
0.117022,Lenti6_1,"Lentinus tigrinus ALCF2SS1-6 v1.0","CE343897_916","null",343898,344190,"scaffold_54:129,472-131,930 (-)","scaffold_54",129472,131930,"(-)","TCDB:1.C.97.1.1",""
0.117022,Sisbr1,"Lentinus tigrinus v1.0","estExt_fgenesh1_pm.C_450030","estExt_fgenesh1_pm",610226,610530,"scaffold_45:100,460-103,016 (-)","scaffold_45",100460,103016,"(-)","TCDB:1.C.97.1.1",""
0.117022,Sisbr1,"Lentinus tigrinus v1.0","CE324637_1806","null",324638,324942,"scaffold_45:141,509-143,942 (+)","scaffold_45",141509,143942,"(+)","TCDB:1.C.97.1.1",""
0.116997,Tulca1,"Tulasnella calospora AL13/4D v1.0","MIX21569_78_64","null",231163,231254,"scaffold_57:192,831-194,471 (+)","scaffold_57",192831,194471,"(+)","TCDB:1.C.97.5.1 IPRF:ipr001862 PFD:pf01823",""
0.115885,Fibra1,"Fibroporia radiculosa TFFH 294","FIBRA_02864m.01","ExternalModels",1690,1690,"scaffold_1445:22,071-24,508 (+)","scaffold_1445",22071,24508,"(+)","TCDB:1.C.97.1.1",""
0.112192,PleosPC9_1,"Pleurotus ostreatus PC9 v1.0","estExt_genemark.C_60214","estExt_genemark",133806,133806,"scaffold_6:781,952-784,402 (+)","scaffold_6",781952,784402,"(+)","TCDB:1.C.97.1.1","Description:pleurotolysin B:Ursula Kües:2011-08-02 Defline:pleurotolysin B:Ursula Kües:2011-08-02 Disposition:Catalog:Ursula Kües:2011-08-02"
0.102461,PleosPC15_2,"Pleurotus ostreatus PC15 v2.0","estExt_fgenesh1_kg.C_070194","estExt_fgenesh1_kg",1090161,1090161,"scaffold_07:1,941,499-1,943,972 (-)","scaffold_07",1941499,1943972,"(-)","TCDB:1.C.97.1.1","Defline:precursor of pleurotolysin B:Ursula Kües:2010-01-03 Description:precursor of pleurotolysin B:Ursula Kües:2010-01-03 Literature:Sakurai,N., Kaneko,J., Kamio,Y. and Tomita,T. Cloning, expression, and pore-forming properties of mature and precursor forms of pleurotolysin, a sphingomyelin-specific two-component cytolysin from the edible mushroom Pleurotus ostreatus Biochim. Biophys. Acta 1679 (1), 65-73 (2004):Ursula Kües:2010-01-03 Name:plyB:Ursula Kües:2010-01-03"
