Score,"Organism Id","Organism Name",Name,Track,"Protein Id","Transcript Id",Location,Scaffold,Start,End,Strand,Annotations,"User Annotations"
0.095946,Rhisol1,"Rhizoctonia solani AG-3 Rhs1AP","transcript:EUC55865","ExternalModels",2412,2412,"scaffold_1:10,589,712-10,590,383 (-)","scaffold_1",10589712,10590383,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.095946,Rhisol1,"Rhizoctonia solani AG-3 Rhs1AP","transcript:EUC56422","ExternalModels",2969,2969,"scaffold_1:13,172,216-13,172,890 (-)","scaffold_1",13172216,13172890,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.095946,Rhisol1,"Rhizoctonia solani AG-3 Rhs1AP","transcript:EUC56460","ExternalModels",3007,3007,"scaffold_1:13,302,723-13,303,394 (+)","scaffold_1",13302723,13303394,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082486,Cersp395_1,"Ceratobasidium sp. 395 v1.0","fgenesh1_kg.10_#_868_#_TRINITY_DN7794_c0_g1_i1","fgenesh1_kg",1465123,1465561,"scaffold_10:681,653-682,659 (+)","scaffold_10",681653,682659,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082486,Cersp395_1,"Ceratobasidium sp. 395 v1.0","fgenesh1_kg.29_#_415_#_TRINITY_DN8157_c0_g1_i1","fgenesh1_kg",1489310,1489748,"scaffold_29:257,314-258,649 (+)","scaffold_29",257314,258649,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082423,PleosDSM11191_1,"Pleurotus ostreatus DSM 11191 v1.0","CE595597_181","null",595598,596220,"scaffold_44:124,819-126,061 (+)","scaffold_44",124819,126061,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082423,Thacu1,"Thanatephorus cucumeris MPI-SDFR-AT-0096 v1.0","fgenesh1_pg.14_#_25","fgenesh1_pg",631390,631548,"scaffold_14:83,324-83,998 (-)","scaffold_14",83324,83998,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082423,Thacu1,"Thanatephorus cucumeris MPI-SDFR-AT-0096 v1.0","gm1.10415_g","Genemark1",722496,722654,"scaffold_20:282,958-283,632 (+)","scaffold_20",282958,283632,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082404,AgarPMI687_1,"Stephanosporaceae sp. PMI 697 v1.0","fgenesh1_kg.167_#_54_#_TRINITY_DN7281_c0_g2_i4","fgenesh1_kg",1493259,1493943,"scaffold_167:104,033-105,267 (-)","scaffold_167",104033,105267,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","CE294919_60","null",294920,294920,"scaffold_30:188,031-188,902 (+)","scaffold_30",188031,188902,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","estExt_Genewise1Plus.C_50082","estExt_Genewise1Plus",682773,683163,"scaffold_5:356,854-357,522 (+)","scaffold_5",356854,357522,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","estExt_Genewise1Plus.C_340140","estExt_Genewise1Plus",690012,690402,"scaffold_34:435,789-436,466 (-)","scaffold_34",435789,436466,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","fgenesh1_pg.34_#_114","fgenesh1_pg",721049,721439,"scaffold_34:426,142-426,829 (+)","scaffold_34",426142,426829,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","fgenesh1_kg.43_#_281_#_TRINITY_DN11032_c0_g1_i1","fgenesh1_kg",763192,763582,"scaffold_43:313,100-314,030 (+)","scaffold_43",313100,314030,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","gm1.10178_g","Genemark1",836554,836944,"scaffold_30:191,388-192,074 (+)","scaffold_30",191388,192074,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","MIX29302_2_23","null",901102,901492,"scaffold_30:184,023-184,703 (+)","scaffold_30",184023,184703,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","MIX31859_1_22","null",903659,904049,"scaffold_34:513,520-514,197 (+)","scaffold_34",513520,514197,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp379_1,"Ceratobasidium sp. 379 v1.0","MIX37827_1_22","null",909627,910017,"scaffold_43:62,239-62,916 (+)","scaffold_43",62239,62916,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","CE2823_361","null",2824,3198,"scaffold_1:312,444-313,354 (+)","scaffold_1",312444,313354,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","estExt_Genewise1Plus.C_3_t30291","estExt_Genewise1Plus",1223572,1223946,"scaffold_3:2,562,712-2,563,834 (-)","scaffold_3",2562712,2563834,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","estExt_Genewise1Plus.C_17_t10267","estExt_Genewise1Plus",1230563,1230937,"scaffold_17:600,194-601,316 (+)","scaffold_17",600194,601316,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","fgenesh1_kg.59_#_133_#_TRINITY_DN1509_c0_g1_i1","fgenesh1_kg",1334309,1334683,"scaffold_59:146,836-147,790 (-)","scaffold_59",146836,147790,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","fgenesh1_kg.59_#_158_#_TRINITY_DN1509_c0_g2_i1","fgenesh1_kg",1334334,1334708,"scaffold_59:161,733-162,556 (-)","scaffold_59",161733,162556,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","estExt_Genemark1.C_170197","estExt_Genemark1",1418454,1418828,"scaffold_17:603,714-604,582 (+)","scaffold_17",603714,604582,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","MIX56275_1_22","null",1500321,1500695,"scaffold_59:139,013-139,700 (+)","scaffold_59",139013,139700,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","CE642932_114","null",642933,643307,"scaffold_3:2,559,447-2,560,415 (-)","scaffold_3",2559447,2560415,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082388,Cersp394_1,"Ceratobasidium sp. 394 v1.0","CE806669_89","null",806670,807044,"scaffold_5:1,522,087-1,523,185 (-)","scaffold_5",1522087,1523185,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082351,Cersp5352_1,"Ceratobasidium sp 535-2 v1.0","estExt_Genewise1Plus.C_320082","estExt_Genewise1Plus",1884108,1884696,"scaffold_32:295,764-296,568 (+)","scaffold_32",295764,296568,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082351,Cersp5352_1,"Ceratobasidium sp 535-2 v1.0","gm4.12098_g","Genemark4",1944739,1945327,"scaffold_108:70,296-70,976 (-)","scaffold_108",70296,70976,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082351,Cersp5352_1,"Ceratobasidium sp 535-2 v1.0","fgenesh1_kg.100_#_306_#_TRINITY_DN19912_c0_g1_i2","fgenesh1_kg",2017876,2018464,"scaffold_100:245,843-246,844 (-)","scaffold_100",245843,246844,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082351,Cersp423_1,"Ceratobasidium sp. 423 v1.0","CE484808_219","null",484809,485301,"scaffold_241:26,163-27,224 (-)","scaffold_241",26163,27224,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082351,Cersp423_1,"Ceratobasidium sp. 423 v1.0","CE849761_2716","null",849762,850254,"scaffold_45:62,341-63,461 (+)","scaffold_45",62341,63461,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082351,Cersp423_1,"Ceratobasidium sp. 423 v1.0","gm1.24885_g","Genemark1",1956315,1956807,"scaffold_218:10,954-11,875 (+)","scaffold_218",10954,11875,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487",""
0.082294,Rhiso1,"Rhizoctonia solani AG-1 IB","g8940.t1","ExternalModels",8940,9104,"scaffold_00161:52,340-53,309 (-)","scaffold_00161",52340,53309,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585",""
0.082285,Mycgal1,"Mycena galopus ATCC-62051 v1.0","fgenesh1_pg.9_#_6","fgenesh1_pg",1751451,1752033,"scaffold_9:20,550-20,900 (+)","scaffold_9",20550,20900,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082265,Ganbon1,"Ganoderma boninense G3 v1.0","estExt_Genewise1Plus.C_1220012","estExt_Genewise1Plus",503331,504669,"scaffold_122:42,802-43,939 (+)","scaffold_122",42802,43939,"(+)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.082265,Ganbon1,"Ganoderma boninense G3 v1.0","estExt_Genewise1Plus.C_2970005","estExt_Genewise1Plus",506807,508145,"scaffold_297:27,486-28,311 (-)","scaffold_297",27486,28311,"(-)","TCDB:1.C.39.8.2 IPRF:ipr000585 IPRF:ipr018487 PFD:pf00045",""
0.068765,Laesu1,"Laetiporus sulphureus var. sulphureus v1.0","estExt_Genemark1.C_760033","estExt_Genemark1",816417,816518,"scaffold_76:108,337-109,797 (+)","scaffold_76",108337,109797,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068749,Pleery1,"Pleurotus eryngii ATCC 90797 v1.0","fgenesh1_pg.121_#_27","fgenesh1_pg",1434692,1434874,"scaffold_121:98,726-99,476 (-)","scaffold_121",98726,99476,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068741,Marfi1,"Marasmius fiardii PR-910 v1.0","e_gw1.76.3.1","Genewise1Plus",876344,876530,"scaffold_76:59,910-60,429 (-)","scaffold_76",59910,60429,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068736,Hypsu1,"Hypholoma sublateritium v1.0","gw1.67.18.1","Genewise1",107323,107552,"scaffold_67:130,608-131,316 (-)","scaffold_67",130608,131316,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068736,CerAGI,"Ceratobasidium sp. anastomosis group I; DN8442 v1.0","MIX17674_10_88","null",585062,585190,"scaffold_35:125,835-126,509 (-)","scaffold_35",125835,126509,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068736,CerAGI,"Ceratobasidium sp. anastomosis group I; DN8442 v1.0","estExt_Genewise1Plus.C_350067","estExt_Genewise1Plus",495489,495617,"scaffold_35:107,150-108,319 (+)","scaffold_35",107150,108319,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068736,CerAGI,"Ceratobasidium sp. anastomosis group I; DN8442 v1.0","estExt_Genewise1Plus.C_350101","estExt_Genewise1Plus",495515,495643,"scaffold_35:250,226-250,900 (+)","scaffold_35",250226,250900,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068736,CerAGI,"Ceratobasidium sp. anastomosis group I; DN8442 v1.0","fgenesh1_pg.142_#_21","fgenesh1_pg",514626,514754,"scaffold_142:69,995-70,677 (+)","scaffold_142",69995,70677,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585",""
0.068734,Polbr1,"Polyporus brumalis CIRM-BRFM 1820 v1.0","fgenesh1_kg.52_#_76_#_Locus11174v1rpkm2.92","fgenesh1_kg",1407290,1407550,"scaffold_52:154,950-155,935 (-)","scaffold_52",154950,155935,"(-)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068685,PleosPC9_1,"Pleurotus ostreatus PC9 v1.0","estExt_genemark.C_50168","estExt_genemark",133592,133592,"scaffold_5:693,231-694,945 (+)","scaffold_5",693231,694945,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068684,PleosPC15_2,"Pleurotus ostreatus PC15 v2.0","estExt_Genemark1.C_080166","estExt_Genemark1",1113759,1113759,"scaffold_08:581,865-583,580 (+)","scaffold_08",581865,583580,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
0.068630,Corgl3,"Phlegmacium glaucopus AT 2004 276 v2.0","e_gw1.340.87.1","Genewise1Plus",7091174,7091288,"scaffold_340:71,698-72,570 (+)","scaffold_340",71698,72570,"(+)","GO:0003824 GO:0046872 TCDB:1.C.39.8.2 IPRF:ipr000585 PFD:pf00045",""
